1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time 8:violations 9:bad_histories 10:all_histories 11:covered 12:c0_violations 13:c0_bad_histories 14:c0_all_histories 15:c0_covered 16:c1_violations 17:c1_bad_histories 18:c1_all_histories 19:c1_covered 20:c2_violations 21:c2_bad_histories 22:c2_all_histories 23:c2_covered 24:c3_violations 25:c3_bad_histories 26:c3_all_histories 27:c3_covered 28:c4_violations 29:c4_bad_histories 30:c4_all_histories 31:c4_covered
Lin_vs_counting 1 1 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 1 2 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 1 3 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 1 4 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 2 1 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 2 2 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 2 3 0 4 1 0 1 1 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 1
Lin_vs_counting 2 4 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 3 1 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 3 2 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 3 3 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 3 4 0 4 1 0 1 1 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 4 1 0 4 1 0 1 1 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 1
Lin_vs_counting 4 2 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 4 3 0 4 1 0 0 0 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 4 4 0 4 1 0 1 1 1 - 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Lin_vs_counting 1 1 1 4 6 0 0 0 4 - 0 0 2 0 0 0 4 0 0 0 4 0 0 0 4 0 0 0 4 0
Lin_vs_counting 1 2 1 4 11 0 0 0 5 - 0 0 2 0 0 0 5 0 0 0 5 0 0 0 5 0 0 0 5 0
